Number,id,missing data,citation1,citation2,citation3,country,country id,latitude,longitude,method,rdt type,month start,year start,month end,year end,lower age,upper age,pf pos,examined,PR,Dummy Time
14,809799,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-10.92182,37.41527,RDT,NA,6,2008,6,2008,0,4,23,39,0.58974359,2000
15,819292,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.91946,39.37946,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,49,0.734693878,2000
16,818109,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.91446,39.52003,RDT,Paracheck Pf,7,2004,8,2004,0,14,32,52,0.615384615,2000
17,803701,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.90459,39.45924,RDT,Paracheck Pf,7,2004,8,2004,0,14,28,46,0.608695652,2000
18,817772,,"Kingamkono, R.Y. and Nyangali, E.E. (1987). <i>The health and nutritional status of the under fives in the Mtwara CSD programme area, November 1987.</i> Dar es Salaam, Tanzania (United Republic of): Tanzania Food and Nutrition Centre n.fpg.",,,Tanzania (United Republic of),TZA,-10.899,39.3333,Microscopy,,11,1987,11,1987,0,5,29,102,0.284313725,2000
19,819353,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-10.89844,38.34673,RDT,NA,6,2008,6,2008,0,4,17,33,0.515151515,2000
20,807877,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-10.89787,38.34719,RDT,NA,6,2008,6,2008,0,4,14,22,0.636363636,2000
21,814150,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.889,39.47404,RDT,Paracheck Pf,7,2004,8,2004,0,14,33,51,0.647058824,2000
22,816788,,"Molteni, F. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.8833,38.68816,RDT,NA,6,2006,6,2006,0,4,24,50,0.48,2000
23,806899,,"Molteni, F. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.8797,37.7001,RDT,NA,6,2006,6,2006,0,4,41,50,0.82,2000
24,815385,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.86943,39.31953,RDT,Paracheck Pf,7,2004,8,2004,0,14,19,32,0.59375,2000
25,818472,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-10.8693,37.4528,RDT,NA,6,2008,6,2008,0,4,43,67,0.641791045,2000
26,811405,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.86359,39.38858,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,45,0.8,2000
27,811648,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.84419,39.76685,RDT,Paracheck Pf,7,2004,8,2004,0,14,39,44,0.886363636,2000
28,805865,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.83581,39.38065,RDT,Paracheck Pf,7,2004,8,2004,0,14,41,55,0.745454545,2000
29,810931,,"Mutabingwa, T. (1986). <i>Malaria survey in Ruvuna and Mtwara regions of Southern Tanzania.</i>.", (2010). <i>http://mara-database.org/mara/.</i>: MARA/ARMA. 31 Aug 2010.,"Le Sueur, D., Binka, F., Lengeler, C., De Savigny, D., Snow, B., Teuscher, T. and Toure, Y. (1997).  <b>An atlas of malaria in Africa.</b> <i>Africa health</i>, <b>19</b>(2):23-4",Tanzania (United Republic of),TZA,-10.832,35.516,Microscopy,,8,1986,8,1986,0,99,321,535,0.6,2000
30,812428,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.82057,39.59064,RDT,Paracheck Pf,7,2004,8,2004,0,14,21,29,0.724137931,2000
31,820980,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.81534,39.52422,RDT,Paracheck Pf,7,2004,8,2004,0,14,26,41,0.634146341,2000
32,811088,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.80977,39.45857,RDT,Paracheck Pf,7,2004,8,2004,0,14,41,52,0.788461538,2000
33,803965,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.79265,39.5919,RDT,Paracheck Pf,7,2004,8,2004,0,14,38,42,0.904761905,2000
34,813910,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.77804,39.29649,RDT,Paracheck Pf,7,2004,8,2004,0,14,33,39,0.846153846,2000
35,808526,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.77276,39.75834,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,43,0.837209302,2000
36,812839,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.77223,39.21763,RDT,Paracheck Pf,7,2004,8,2004,0,14,23,30,0.766666667,2000
37,811678,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.76061,39.72381,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,47,0.765957447,2000
38,808874,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.75763,39.62853,RDT,Paracheck Pf,7,2004,8,2004,0,14,16,24,0.666666667,2000
39,808671,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.75707,39.47349,RDT,Paracheck Pf,7,2004,8,2004,0,14,32,43,0.744186047,2000
40,808171,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-10.74085,38.75686,RDT,NA,6,2008,6,2008,0,4,20,34,0.588235294,2000
41,818450,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.72568,39.34281,RDT,Paracheck Pf,7,2004,8,2004,0,14,44,51,0.862745098,2000
42,819498,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.72566,39.51325,RDT,Paracheck Pf,7,2004,8,2004,0,14,42,48,0.875,2000
43,819134,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.71949,39.71152,RDT,Paracheck Pf,7,2004,8,2004,0,14,43,46,0.934782609,2000
44,813037,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.70831,39.22078,RDT,Paracheck Pf,7,2004,8,2004,0,14,42,43,0.976744186,2000
45,818256,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.7019,39.4198,RDT,Paracheck Pf,7,2004,8,2004,0,14,31,42,0.738095238,2000
46,814714,,"Molteni, F. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.6909,38.7817,RDT,NA,6,2006,6,2006,0,4,12,50,0.24,2000
47,817694,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.67059,39.31336,RDT,Paracheck Pf,7,2004,8,2004,0,14,44,60,0.733333333,2000
48,815499,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.66879,39.50779,RDT,Paracheck Pf,7,2004,8,2004,0,14,31,39,0.794871795,2000
49,806359,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.66644,39.1657,RDT,Paracheck Pf,7,2004,8,2004,0,14,45,59,0.762711864,2000
50,820046,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.65651,38.10406,RDT,Paracheck Pf,7,2004,8,2004,0,14,34,36,0.944444444,2000
51,810342,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.65522,39.67032,RDT,Paracheck Pf,7,2004,8,2004,0,14,41,42,0.976190476,2000
52,804585,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.65043,39.19291,RDT,Paracheck Pf,7,2004,8,2004,0,14,41,52,0.788461538,2000
53,813392,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.62817,39.2439,RDT,Paracheck Pf,7,2004,8,2004,0,14,42,54,0.777777778,2000
54,810839,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.62157,39.45446,RDT,Paracheck Pf,7,2004,8,2004,0,14,27,32,0.84375,2000
55,807336,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.6094,39.56375,RDT,Paracheck Pf,7,2004,8,2004,0,14,26,34,0.764705882,2000
56,807788,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.59994,39.25694,RDT,Paracheck Pf,7,2004,8,2004,0,14,35,54,0.648148148,2000
57,814728,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.59981,39.27493,RDT,Paracheck Pf,7,2004,8,2004,0,14,30,41,0.731707317,2000
58,818337,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.598,39.40301,RDT,Paracheck Pf,7,2004,8,2004,0,14,38,46,0.826086957,2000
59,808877,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.58873,39.62342,RDT,Paracheck Pf,7,2004,8,2004,0,14,43,51,0.843137255,2000
60,816193,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.56285,39.47115,RDT,Paracheck Pf,7,2004,8,2004,0,14,50,53,0.943396226,2000
61,810511,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.56077,39.29103,RDT,Paracheck Pf,7,2004,8,2004,0,14,32,37,0.864864865,2000
62,816177,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.55916,39.07483,RDT,Paracheck Pf,7,2004,8,2004,0,14,10,35,0.285714286,2000
63,806866,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.54661,38.02051,RDT,Paracheck Pf,7,2004,8,2004,0,14,26,34,0.764705882,2000
64,812471,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.52602,37.99169,RDT,Paracheck Pf,7,2004,8,2004,0,14,42,54,0.777777778,2000
65,816738,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.52145,39.22515,RDT,Paracheck Pf,7,2004,8,2004,0,14,33,45,0.733333333,2000
66,812809,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.51993,39.34227,RDT,Paracheck Pf,7,2004,8,2004,0,14,37,46,0.804347826,2000
67,821022,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.51626,39.60342,RDT,Paracheck Pf,7,2004,8,2004,0,14,30,35,0.857142857,2000
68,804470,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.49607,38.7104,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,36,1,2000
69,818808,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.49064,38.80812,RDT,Paracheck Pf,7,2004,8,2004,0,14,20,25,0.8,2000
70,813313,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.49027,38.81224,RDT,Paracheck Pf,7,2004,8,2004,0,14,24,39,0.615384615,2000
71,803667,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.49016,38.90021,RDT,Paracheck Pf,7,2004,8,2004,0,14,47,55,0.854545455,2000
72,814484,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.48876,39.60199,RDT,Paracheck Pf,7,2004,8,2004,0,14,31,41,0.756097561,2000
73,806277,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.48753,39.52057,RDT,Paracheck Pf,7,2004,8,2004,0,14,30,30,1,2000
74,814737,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.48579,39.40961,RDT,Paracheck Pf,7,2004,8,2004,0,14,40,52,0.769230769,2000
75,812455,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.47805,38.91457,RDT,Paracheck Pf,7,2004,8,2004,0,14,28,47,0.595744681,2000
76,816665,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.4747,38.75099,RDT,Paracheck Pf,7,2004,8,2004,0,14,44,50,0.88,2000
77,809875,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.44278,38.98616,RDT,Paracheck Pf,7,2004,8,2004,0,14,26,32,0.8125,2000
78,816550,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.44197,38.76867,RDT,Paracheck Pf,7,2004,8,2004,0,14,31,44,0.704545455,2000
79,812262,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.43689,39.67204,RDT,Paracheck Pf,7,2004,8,2004,0,14,25,27,0.925925926,2000
80,809194,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.42478,37.90968,RDT,Paracheck Pf,7,2004,8,2004,0,14,52,62,0.838709677,2000
81,805563,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.4166,38.64098,RDT,Paracheck Pf,7,2004,8,2004,0,14,18,23,0.782608696,2000
82,816982,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.41403,37.9145,RDT,Paracheck Pf,7,2004,8,2004,0,14,44,49,0.897959184,2000
83,812524,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.40686,38.81106,RDT,Paracheck Pf,7,2004,8,2004,0,14,14,15,0.933333333,2000
84,815387,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.40342,39.07268,RDT,Paracheck Pf,7,2004,8,2004,0,14,23,23,1,2000
85,812784,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.39865,39.50747,RDT,Paracheck Pf,7,2004,8,2004,0,14,25,30,0.833333333,2000
86,805471,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.39861,38.90198,RDT,Paracheck Pf,7,2004,8,2004,0,14,19,48,0.395833333,2000
87,821453,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.3936,39.55307,RDT,Paracheck Pf,7,2004,8,2004,0,14,34,39,0.871794872,2000
88,817274,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.38126,38.33483,RDT,Paracheck Pf,7,2004,8,2004,0,14,35,49,0.714285714,2000
89,819654,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.38086,38.69308,RDT,Paracheck Pf,7,2004,8,2004,0,14,18,22,0.818181818,2000
90,803780,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.3769,39.66187,RDT,Paracheck Pf,7,2004,8,2004,0,14,33,38,0.868421053,2000
91,806994,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.3766,39.61469,RDT,Paracheck Pf,7,2004,8,2004,0,14,43,51,0.843137255,2000
92,805107,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.37646,38.22766,RDT,Paracheck Pf,7,2004,8,2004,0,14,16,17,0.941176471,2000
93,814621,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.37349,38.75456,RDT,Paracheck Pf,7,2004,8,2004,0,14,16,33,0.484848485,2000
94,803590,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.37297,38.47937,RDT,Paracheck Pf,7,2004,8,2004,0,14,11,21,0.523809524,2000
95,817511,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.36515,39.31995,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,42,0.857142857,2000
96,811313,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.36409,39.19292,RDT,Paracheck Pf,7,2004,8,2004,0,14,25,28,0.892857143,2000
97,809895,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.35827,38.75594,RDT,Paracheck Pf,7,2004,8,2004,0,14,8,35,0.228571429,2000
98,808100,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.35651,39.41998,RDT,Paracheck Pf,7,2004,8,2004,0,14,20,25,0.8,2000
99,805838,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.35422,38.76357,RDT,Paracheck Pf,7,2004,8,2004,0,14,14,20,0.7,2000
100,814718,,"Kingamkono, R.Y. and Nyangali, E.E. (1987). <i>The health and nutritional status of the under fives in the Mtwara CSD programme area, November 1987.</i> Dar es Salaam, Tanzania (United Republic of): Tanzania Food and Nutrition Centre n.fpg.",,,Tanzania (United Republic of),TZA,-10.349,40.25,Microscopy,,11,1987,11,1987,0,5,115,168,0.68452381,2000
101,811393,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.34676,38.67616,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,42,0.857142857,2000
102,814072,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.34208,39.27452,RDT,Paracheck Pf,7,2004,8,2004,0,14,36,49,0.734693878,2000
103,804404,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.34164,39.14009,RDT,Paracheck Pf,7,2004,8,2004,0,14,32,45,0.711111111,2000
104,807786,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.32787,38.70018,RDT,Paracheck Pf,7,2004,8,2004,0,14,24,28,0.857142857,2000
105,811832,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.31083,38.15341,RDT,Paracheck Pf,7,2004,8,2004,0,14,46,57,0.807017544,2000
106,808331,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.29773,39.3683,RDT,Paracheck Pf,7,2004,8,2004,0,14,22,24,0.916666667,2000
107,814861,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.29556,38.82324,RDT,Paracheck Pf,7,2004,8,2004,0,14,9,16,0.5625,2000
108,815634,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.29478,39.37999,RDT,Paracheck Pf,7,2004,8,2004,0,14,27,35,0.771428571,2000
109,808741,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.2917,39.24925,RDT,Paracheck Pf,7,2004,8,2004,0,14,25,30,0.833333333,2000
110,821411,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.2773,38.64108,RDT,Paracheck Pf,7,2004,8,2004,0,14,30,36,0.833333333,2000
111,818535,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.27619,38.89688,RDT,Paracheck Pf,7,2004,8,2004,0,14,32,45,0.711111111,2000
112,820865,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.26508,38.71716,RDT,Paracheck Pf,7,2004,8,2004,0,14,20,30,0.666666667,2000
113,818576,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.26339,38.98592,RDT,Paracheck Pf,7,2004,8,2004,0,14,14,16,0.875,2000
114,819644,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-10.25587,38.21666,RDT,NA,6,2008,6,2008,0,4,20,39,0.512820513,2000
115,817063,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.25372,39.42818,RDT,Paracheck Pf,7,2004,8,2004,0,14,40,52,0.769230769,2000
116,808401,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.23889,39.47174,RDT,Paracheck Pf,7,2004,8,2004,0,14,31,40,0.775,2000
117,819999,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.23153,39.88275,RDT,Paracheck Pf,7,2004,8,2004,0,14,16,16,1,2000
118,808812,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.21642,39.86321,RDT,Paracheck Pf,7,2004,8,2004,0,14,22,39,0.564102564,2000
119,815228,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.20991,39.3493,RDT,Paracheck Pf,7,2004,8,2004,0,14,33,34,0.970588235,2000
120,820220,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.19712,38.7874,RDT,Paracheck Pf,7,2004,8,2004,0,14,27,30,0.9,2000
121,814742,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.19666,39.53415,RDT,Paracheck Pf,7,2004,8,2004,0,14,16,19,0.842105263,2000
122,814086,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.19612,38.93688,RDT,Paracheck Pf,7,2004,8,2004,0,14,12,20,0.6,2000
123,814258,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.19407,39.79272,RDT,Paracheck Pf,7,2004,8,2004,0,14,22,36,0.611111111,2000
124,815060,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.19053,38.54839,RDT,Paracheck Pf,7,2004,8,2004,0,14,30,40,0.75,2000
125,813562,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.18745,39.54364,RDT,Paracheck Pf,7,2004,8,2004,0,14,34,39,0.871794872,2000
126,806505,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.1851,39.54216,RDT,Paracheck Pf,7,2004,8,2004,0,14,19,22,0.863636364,2000
127,821514,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.18493,38.73855,RDT,Paracheck Pf,7,2004,8,2004,0,14,23,26,0.884615385,2000
128,814399,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.18224,38.99784,RDT,Paracheck Pf,7,2004,8,2004,0,14,45,50,0.9,2000
129,805193,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.17589,38.63523,RDT,Paracheck Pf,7,2004,8,2004,0,14,29,36,0.805555556,2000
130,813996,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.17104,38.38719,RDT,Paracheck Pf,7,2004,8,2004,0,14,22,24,0.916666667,2000
131,805224,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.16951,38.66837,RDT,Paracheck Pf,7,2004,8,2004,0,14,28,39,0.717948718,2000
132,822018,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.16791,38.50751,RDT,Paracheck Pf,7,2004,8,2004,0,14,19,21,0.904761905,2000
133,811036,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.16762,39.44181,RDT,Paracheck Pf,7,2004,8,2004,0,14,27,41,0.658536585,2000
134,808773,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.16428,38.48373,RDT,Paracheck Pf,7,2004,8,2004,0,14,32,34,0.941176471,2000
135,814087,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.15968,39.95994,RDT,Paracheck Pf,7,2004,8,2004,0,14,27,36,0.75,2000
136,807874,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.15873,38.87562,RDT,Paracheck Pf,7,2004,8,2004,0,14,23,28,0.821428571,2000
137,821466,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.15262,39.75411,RDT,Paracheck Pf,7,2004,8,2004,0,14,24,31,0.774193548,2000
138,806383,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.14948,39.26927,RDT,Paracheck Pf,7,2004,8,2004,0,14,16,26,0.615384615,2000
139,818027,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.14886,39.83688,RDT,Paracheck Pf,7,2004,8,2004,0,14,35,41,0.853658537,2000
