Number,id,missing data,citation1,citation2,citation3,country,country id,latitude,longitude,method,rdt type,month start,year start,month end,year end,lower age,upper age,pf pos,examined,PR,Dummy Time
11,803549,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-2,37.6804,RDT,Rapid Uni-Gold,9,2003,9,2003,0.6,5,0,16,0,2000
12,803596,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.6928,35.10542,RDT,Paracheck Pf (Device),11,2009,11,2009,5,17,0,110,0,2000
13,803614,,"Tosha, S.B. (1996). Nairobi, Kenya: Division of Vector-Borne Diseases, Ministry of Health.",,,Kenya,KEN,-4.1833,39.45,Microscopy,,6,1996,6,1996,5,14,12,144,0.083333333,2000
14,803621,,"Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42",,,Kenya,KEN,-4.1553,39.4541,Microscopy,,5,1998,5,1998,6,12,59,100,0.59,2000
15,803646,,"Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T. (2009) personal communication.",,Kenya,KEN,-0.17373,34.37943,Microscopy,,11,1998,11,1998,12,18,7,21,0.333333333,2000
16,803664,,"Okech, B.A. (2004). <i>Environmental factors affecting the development of <i>Plasmodium falciparum</i> in <i>Anopheles</i> gambaie mosquitoes.</i>",,,Kenya,KEN,-0.4742,34.2874,Microscopy,,4,2002,4,2002,1,12,55,102,0.539215686,2000
17,803670,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-1.9391,37.526,RDT,Rapid Uni-Gold,8,2000,8,2004,0.1,4,1,27,0.037037037,2000
18,803724,,"Snow, R.W. (1991) personal communication.",,,Kenya,KEN,-3.52261,39.86388,Microscopy,,3,1990,9,1991,0,4,3,6,0.5,2000
19,803755,,"Mutero, C.M., Mutinga, M.J., Ngindu, A.M., Kenya, P.R. and Amimo, F.A. (1992).  <b>Visceral leishmaniasis and malaria prevalence in West Pokot District, Kenya.</b> <i>East African Medical Journal</i>, <b>69</b>(1):3-8",,,Kenya,KEN,1.4112,35.6304,Microscopy,,6,1986,6,1986,0,99,14,103,0.13592233,2000
20,803764,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-4.2168,39.2674,RDT,Rapid Uni-Gold,9,2003,9,2003,0.1,5,16,16,1,2000
21,803795,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,0.25028,35.55785,RDT,Paracheck Pf,11,2009,11,2009,5,17,0,110,0,2000
22,803852,,"Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T. (2009) personal communication.",,Kenya,KEN,-0.15202,34.31295,Microscopy,,10,1998,10,1998,12,18,8,27,0.296296296,2000
23,803524,,"Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,,Kenya,KEN,-4.64376,39.18693,RDT,OptiMAL-IT,10,2008,10,2008,5,15,14,111,0.126126126,2000
24,809145,,"Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,,Kenya,KEN,-4.56222,39.17696,RDT,OptiMAL-IT,10,2008,10,2008,5,15,6,104,0.057692308,2000
25,803927,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-4.2497,39.1652,RDT,Rapid Uni-Gold,9,2003,9,2003,0.6,4,15,19,0.789473684,2000
26,803945,,"Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T. (2009) personal communication.",,Kenya,KEN,-0.15052,34.33851,Microscopy,,2,1999,2,1999,12,18,1,13,0.076923077,2000
27,803949,,"Marsh, K. (1995) personal communication.",,,Kenya,KEN,-3.5599,39.8433,Microscopy,,3,1995,3,1995,1,4,32,56,0.571428571,2000
28,803959,,"Gitonga, C. and Brooker, S. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.46571,39.6624,RDT,Paracheck Pf (Dipstick),2,2009,2,2009,5,17,0,111,0,2000
29,817780,,"Bejon, P., Mwacharo, J., Kai, O., Mwangi, T., Milligan, P., Todryk, S., Keating, S., Lang, T., Lowe, B., Gikonyo, C., Molyneux, C., Fegan, G., Gilbert, S.C., Peshu, N., Marsh, K. and Hill, A.V. (2006).  <b>A phase 2b randomised trial of the candidate malaria vaccines FP9 ME-TRAP and MVA ME-TRAP among children in Kenya.</b> <i>PLoS Clinical Trials</i>, <b>1</b>(6):e29","Bejon, P. (2006) personal communication.",,Kenya,KEN,-3.834,39.766,Microscopy,,2,2005,2,2005,1,6,49,77,0.636363636,2000
30,803978,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-4.1413,39.2506,RDT,Rapid Uni-Gold,9,2003,9,2003,1.4,5,19,19,1,2000
31,804001,,"Gitonga, C. and Brooker, S. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-1.39495,40.01458,RDT,Paracheck Pf (Dipstick),3,2009,3,2009,5,17,14,100,0.14,2000
32,804035,,"Kaneko, A. (1998). <i>Malaria epidemiology and drug resistance in Kisii, Kenya.</i> Kisii, Kenya: JICA 13pg.",,,Kenya,KEN,-0.6753,34.7354,Microscopy,,7,1998,7,1998,0,16,139,389,0.357326478,2000
33,804977,," Kilifi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.",,,Kenya,KEN,-3.8205,39.7675,Microscopy,,5,2009,5,2009,2,10,1,21,0.047619048,2000
34,804119,,"Brooker, S. (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S. (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",,Kenya,KEN,-0.1383,34.3012,Microscopy,,3,2005,3,2005,5,14,5,188,0.026595745,2000
35,804121,,"Nevill, C.G., Watkins, W.M., Carter, J.Y. and Munafu, C.G. (1988).  <b>Comparison of mosquito nets, proguanil hydrochloride, and placebo to prevent malaria.</b> <i>British Medical Journal (Clinical Research Edition)</i>, <b>297</b>(6645):401-3",,,Kenya,KEN,-1.833,36.133,Microscopy,,5,1986,5,1986,6,18,80,188,0.425531915,2000
36,804128,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-4.3946,39.3549,RDT,Rapid Uni-Gold,9,2003,9,2003,0.3,4,13,19,0.684210526,2000
37,803509,,"Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42",,,Kenya,KEN,-3.7897,39.8211,Microscopy,,5,1998,5,1998,6,12,54,100,0.54,2000
38,804173,,"Gitonga, C. and Brooker, S. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-1.57036,40.0537,RDT,Paracheck Pf (Dipstick),2,2009,2,2009,5,17,26,104,0.25,2000
39,804174,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,0.60359,34.77043,RDT,Paracheck Pf (Device),9,2009,9,2009,5,17,16,107,0.14953271,2000
40,804205,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.9184,34.712,RDT,Paracheck Pf (Dipstick),7,2009,7,2009,4,15,0,102,0,2000
41,804210,,"Mugo, T. (1994). Nairobi, Kenya: Division of Vector-Borne Diseases, Ministry of Health.",,,Kenya,KEN,-1.1806,37.9497,Microscopy,,4,1994,4,1994,5,10,26,130,0.2,2000
42,804222,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-1.7054,37.6933,RDT,Rapid Uni-Gold,9,2003,9,2003,0.6,4,0,17,0,2000
43,804225,,"Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W. (1997) personal communication.",,Kenya,KEN,-3.40127,39.96037,Microscopy,,6,1995,6,1995,1,9,11,19,0.578947368,2000
44,804237,,"Ashford, R.W., Craig, P.S. and Oppenheimer, S.J. (1993).  <b>Polyparasitism on the Kenya coast. 2. Spatial heterogeneity in parasite distributions.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(3):283-93",,,Kenya,KEN,-3.59722,39.60055,Microscopy,,10,1985,10,1985,0,99,16,37,0.432432432,2000
45,804245,,"Brooker, S. (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S. (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",,Kenya,KEN,-0.0826,34.224,Microscopy,,3,2005,3,2005,5,14,1,107,0.009345794,2000
46,804306,," Kilifi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.",,,Kenya,KEN,-3.8595,39.744,Microscopy,,4,2009,4,2009,4,10,4,5,0.8,2000
47,804327,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-2.39026,40.77522,RDT,Paracheck Pf (Dipstick),7,2009,7,2009,4,15,0,56,0,2000
48,804366,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,0.00464,36.54391,RDT,Paracheck Pf (Device),11,2009,11,2009,5,17,0,110,0,2000
49,804411,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,0.3545,34.2083,RDT,Rapid Uni-Gold,2,2003,2,2003,0.4,5,27,29,0.931034483,2000
50,804464,,"Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42",,,Kenya,KEN,-3.2599,40.0122,Microscopy,,5,1998,5,1998,6,12,63,100,0.63,2000
51,804542,,"Snow, R.W. (1991) personal communication.",,,Kenya,KEN,-3.58044,39.82594,Microscopy,,12,1990,11,1991,1,4,3,8,0.375,2000
52,804546,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-1.29594,36.86012,RDT,Paracheck Pf (Dipstick),7,2009,7,2009,4,15,4,112,0.035714286,2000
53,804568,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-2.00371,37.71121,RDT,Paracheck Pf (Device),11,2009,11,2009,5,17,0,110,0,2000
54,804591,,"Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,,Kenya,KEN,-3.40587,39.9406,RDT,OptiMAL-IT,9,2008,9,2008,5,15,1,110,0.009090909,2000
55,804600,," Kilifi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.",,,Kenya,KEN,-3.8202,39.7487,Microscopy,,5,2009,5,2009,0.6,11,3,13,0.230769231,2000
56,804606,,"UNICEF KCO. (1994). <i>Vitamin A deficiency in Kenya: A report of the national micronutrients survey, 1994.</i> Nairobi, Kenya: UNICEF 89pg.",,,Kenya,KEN,-0.1754,35.8633,Microscopy,,5,1994,5,1994,0,5,6,114,0.052631579,2000
57,804608,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.65368,35.08937,RDT,Paracheck Pf (Device),11,2009,11,2009,5,17,0,110,0,2000
58,822341,,"Mwangi, T.W. (2003). <i>Clinical epidemiology of malaria under differing levels of transmission.</i> D. Phil. Thesis. The Open University: Weatherall Institute of Molecular Medicine, Oxford, United Kingdom.","Mwangi, T.W. (2008) personal communication.",,Kenya,KEN,-3.75,39.6915,Microscopy,,3,2001,3,2001,0,79,33,160,0.20625,2000
59,804620,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-1.8239,37.7737,RDT,Rapid Uni-Gold,8,2003,8,2003,0.3,5,1,17,0.058823529,2000
60,804631,,"Kolaczinski, J.H., Reithinger, R., Worku, D.T., Ocheng, A., Kasimiro, J., Kabatereine, N. and Brooker, S. (2008).  <b>Risk factors of visceral leishmaniasis in East Africa: a case-control study in Pokot territory of Kenya and Uganda.</b> <i>International Journal of Epidemiology</i>, <b>37</b>(2):344-52",,,Kenya,KEN,1.7893,35.0574,RDT,Paracheck Pf,6,2006,9,2006,1,32,0,8,0,2000
61,804670,,"Gitonga, C. and Brooker, S. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-1.15817,39.95178,RDT,Paracheck Pf (Dipstick),2,2009,2,2009,5,17,6,115,0.052173913,2000
62,804675,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.96472,34.52648,RDT,Paracheck Pf (Device),11,2009,11,2009,5,17,26,110,0.236363636,2000
63,804686,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.23666,36.77583,RDT,Paracheck Pf (Device),10,2009,10,2009,5,17,0,110,0,2000
64,804694,,"Mwaniki, D.L. (2002). <i>Anaemia and status of iron, vitamin A and zinc in Kenya.</i> Nairobi, Kenya: UNICEF 256pg.",,,Kenya,KEN,0.158,33.994,Microscopy,,10,1999,10,1999,0,5,117,171,0.684210526,2000
65,804714,,"Kolaczinski, J.H., Reithinger, R., Worku, D.T., Ocheng, A., Kasimiro, J., Kabatereine, N. and Brooker, S. (2008).  <b>Risk factors of visceral leishmaniasis in East Africa: a case-control study in Pokot territory of Kenya and Uganda.</b> <i>International Journal of Epidemiology</i>, <b>37</b>(2):344-52",,,Kenya,KEN,1.4823,35.473,RDT,Paracheck Pf,6,2006,9,2006,4,45,1,14,0.071428571,2000
66,804727,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.69187,34.67484,RDT,Paracheck Pf (Dipstick),7,2009,7,2009,4,15,2,109,0.018348624,2000
67,804739,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,1.22304,35.64349,RDT,Paracheck Pf (Device),11,2009,11,2009,5,17,0,110,0,2000
68,804767,,"Gitonga, C. and Brooker, S. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-1.53199,40.03835,RDT,Paracheck Pf (Dipstick),2,2009,2,2009,5,17,10,109,0.091743119,2000
69,804774,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.62083,37.59166,RDT,Paracheck Pf (Device),9,2009,9,2009,5,17,0,109,0,2000
70,804804,," Kilifi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.",,,Kenya,KEN,-3.8425,39.76,Microscopy,,4,2009,4,2009,0.8,10,4,5,0.8,2000
71,804830,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-3.9585,39.5323,RDT,Rapid Uni-Gold,9,2003,9,2003,0.1,4,10,21,0.476190476,2000
72,804831,,"UNICEF KCO. (1994). <i>Vitamin A deficiency in Kenya: A report of the national micronutrients survey, 1994.</i> Nairobi, Kenya: UNICEF 89pg.",,,Kenya,KEN,-0.1267,34.6058,Microscopy,,5,1994,5,1994,0,6,218,258,0.84496124,2000
73,804841,,"Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,,Kenya,KEN,-2.889,40.02094,RDT,OptiMAL-IT,10,2008,10,2008,5,15,1,108,0.009259259,2000
74,804843,,"Mwaniki, D.L. (2002). <i>Anaemia and status of iron, vitamin A and zinc in Kenya.</i> Nairobi, Kenya: UNICEF 256pg.",,,Kenya,KEN,-0.7482,34.8902,Microscopy,,10,1999,10,1999,0,5,32,162,0.197530864,2000
75,804867,,"Marsh, V.M. and Abuya, T. (2004) personal communication.",,,Kenya,KEN,-1.8737,37.5007,RDT,Rapid Uni-Gold,8,2003,8,2003,0.4,4,2,20,0.1,2000
76,804898,,"Mutero, C.M., Mutinga, M.J., Ngindu, A.M., Kenya, P.R. and Amimo, F.A. (1992).  <b>Visceral leishmaniasis and malaria prevalence in West Pokot District, Kenya.</b> <i>East African Medical Journal</i>, <b>69</b>(1):3-8",,,Kenya,KEN,1.2559,35.1457,Microscopy,,6,1986,6,1986,0,99,16,101,0.158415842,2000
